Operator Name:,Pioneer
Operator Number:,
Well Name:,16-12
Well Number:,1612
API Number:
Location:
Citing Type:,Actual
Deviation Indicator:,Directional
North Reference:,TRUE
Grid Type:
Units:,PetroImperial
Optional:,MultiWell

Site Location:
Site Northing:,0
Site Easting:,0
Tie Point:,0

Wellhead:
RKB:,0
Wellhead Northing:,1079
Wellhead Easting:,-1023
Ground Level:,4909

MD,Inc,Azi
0,0,12.9
20,0.001,12.9
154,0.3,12.9
247,0.2,44.5
342,1,95.9
434,1.1,99
527,1.3,93.1
620,1.3,88.8
713,1.1,94.5
806,1.2,90.9
839,1,93.1
976,0.7,13.6
1065,1.1,111
1110,1.9,143
1155,2.6,145.8
1201,3.2,143.3
1246,3.8,143.7
1291,4.4,146.5
1337,5.2,144
1382,6.2,142.6
1427,7.1,143.3
1473,7.9,142.3
1518,8.4,140.2
1562,9.1,138.8
1607,9.9,137
1653,11.3,138.4
1698,12,138.1
1743,12.6,138.1
1787,12.8,137
1832,13.1,136.3
1877,13.5,136.3
1967,14.2,138.4
2058,14.5,139.1
2149,13.9,138.4
2238,14.2,139.1
2328,15.6,137.4
2419,15.9,136.7
2509,15.5,135.9
2598,14.7,133.5
2688,14.2,134.9
2778,14.1,135.9
2869,14.2,135.9
2960,14.1,134.9
3049,14.5,136.7
3139,14.2,138.4
3230,14.3,134.5
3319,13,134.9
3410,13.3,133.8
3500,12.9,137
3589,13,139.5
3680,13.3,139.8
3770,14.1,142.3
3861,13.9,141.9
3952,13,142.6
4042,12,141.2
4088,11.8,140.5
4133,11.6,139.8
4178,11.3,139.5
4224,11,139.8
4267,10.6,138.4
4313,10.2,138.8
4358,9.6,137.4
4403,9.6,136.3
4448,9.6,134.5
4494,9.2,135.6
4539,9.2,135.9
4584,9.1,134.5
4630,8.3,138.1
4675,7.2,141.9
4720,5.9,140.9
4764,5.5,150.7
4809,4.8,161.6
4854,3.4,159.5
4898,2.1,164.4
4943,1.6,180.6
5034,0.3,89.5
5123,0.4,86
5212,0.2,135.6
5303,0.3,117
5393,0.4,94.5
5484,0.5,113.8
5573,1.1,119.1
5663,1.4,131.4
5752,1.6,134.9
5843,0.9,113.8
5932,0.5,100.8
6022,0.4,103.6
6113,0.4,130.7
6204,0.4,149.3
6293,0.3,138.4
6383,0.2,104
6472,0.2,126.8
6560,0.4,121.5
6650,0.4,128.9
6740,0.3,123.3
6830,0.4,98
6917,0.5,90.2
7008,0.4,86.4
7098,0.4,90.9
7189,0.4,125.8
7279,0.4,138.8
7328,0.4,142.3
7374,0.4001,142.3
